sistema,nombre,nombre-uri,linea,linea-uri,tipo,tipo-uri,alcaldias,alcaldias-uri,anio
STC Metro,Tlaltenco,tlaltenco,12,linea-12,Intermedia,intermedia,Tláhuac,tlahuac,2012
STC Metro,Zapotitlán,zapotitlan,12,linea-12,Intermedia,intermedia,Tláhuac,tlahuac,2012
STC Metro,Nopalera,nopalera,12,linea-12,Intermedia,intermedia,Tláhuac,tlahuac,2012
STC Metro,Olivos,olivos,12,linea-12,Intermedia,intermedia,Tláhuac,tlahuac,2012
STC Metro,Tezonco,tezonco,12,linea-12,Intermedia,intermedia,Iztapalapa,iztapalapa,2012
STC Metro,Periferico Oriente,periferico-oriente,12,linea-12,Intermedia,intermedia,Iztapalapa,iztapalapa,2012
STC Metro,Calle 11,calle-11,12,linea-12,Intermedia,intermedia,Iztapalapa,iztapalapa,2012
STC Metro,Lomas Estrella,lomas-estrella,12,linea-12,Intermedia,intermedia,Iztapalapa,iztapalapa,2012
STC Metro,San Andres Tomatlán,san-andres-tomatlan,12,linea-12,Intermedia,intermedia,Iztapalapa,iztapalapa,2012
STC Metro,Culhuacán,culhuacan,12,linea-12,Intermedia,intermedia,Iztapalapa,iztapalapa,2012
STC Metro,Atlalilco,atlalilco,12,linea-12,Intermedia / Transbordo,intermedia-transbordo,Iztapalapa,iztapalapa,2012
STC Metro,Mexicaltzingo,mexicaltzingo,12,linea-12,Intermedia,intermedia,Iztapalapa / Coyoacán,iztapalapa;coyoacan,2012
STC Metro,Ermita,ermita,12,linea-12,Intermedia / Transbordo,intermedia-transbordo,Benito Juárez,benito-juarez,2012
STC Metro,Eje Central,eje-central,12,linea-12,Intermedia,intermedia,Benito Juárez,benito-juarez,2012
STC Metro,Parque de los Venados,parque-de-los-venados,12,linea-12,Intermedia,intermedia,Benito Juárez,benito-juarez,2012
STC Metro,Zapata,zapata,12,linea-12,Intermedia / Transbordo,intermedia-transbordo,Benito Juárez,benito-juarez,2012
STC Metro,Hospital 20 de Noviembre,hospital-20-de-noviembre,12,linea-12,Intermedia,intermedia,Benito Juárez,benito-juarez,2012
STC Metro,Insurgentes Sur,insurgentes-sur,12,linea-12,Intermedia,intermedia,Benito Juárez,benito-juarez,2012
STC Metro,Mixcoac,mixcoac,12,linea-12,Terminal / Transbordo,terminal-transbordo,Benito Juárez,benito-juarez,2012
STC Metro,Pantitlán,pantitlan,A,linea-A,Terminal / Transbordo,terminal-transbordo,Iztacalco,iztacalco,1991
STC Metro,Agrícola Oriental,agricola-oriental,A,linea-A,Intermedia,intermedia,Iztacalco,iztacalco,1991
STC Metro,Canal de San Juan,canal-de-san-juan,A,linea-A,Intermedia,intermedia,Iztacalco,iztacalco,1991
STC Metro,Tepalcates,tepalcates,A,linea-A,Intermedia,intermedia,Iztapalapa,iztapalapa,1991
STC Metro,Guelatao,guelatao,A,linea-A,Intermedia,intermedia,Iztapalapa,iztapalapa,1991
STC Metro,Peñón Viejo,penon-viejo,A,linea-A,Intermedia,intermedia,Iztapalapa,iztapalapa,1991
STC Metro,Acatitla,acatitla,A,linea-A,Intermedia,intermedia,Iztapalapa,iztapalapa,1991
STC Metro,Santa Marta,santa-marta,A,linea-A,Intermedia,intermedia,Iztapalapa,iztapalapa,1991
STC Metro,Los Reyes,los-reyes,A,linea-A,Intermedia,intermedia,Estado de México - La Paz,estado-de-mexico-la-paz,1991
STC Metro,La Paz,la-paz,A,linea-A,Terminal,terminal,Estado de México - La Paz,estado-de-mexico-la-paz,1991
STC Metro,Buenavista,buenavista,B,linea-B,Terminal,terminal,Cuauhtémoc,cuauhtemoc,1999
STC Metro,Guerrero,guerrero,B,linea-B,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1999
STC Metro,Garibaldi-Lagunilla,garibaldi-lagunilla,B,linea-B,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1999
STC Metro,Lagunilla,lagunilla,B,linea-B,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1999
STC Metro,Tepito,tepito,B,linea-B,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1999
STC Metro,Morelos,morelos,B,linea-B,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,venustiano-carranza,1999
STC Metro,San Lázaro,san-lazaro,B,linea-B,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,venustiano-carranza,1999
STC Metro,Ricardo Flores Magón,ricardo-flores-magon,B,linea-B,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1999
STC Metro,Romero Rubio,romero-rubio,B,linea-B,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1999
STC Metro,Oceanía,oceania,B,linea-B,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero / Venustiano Carranza,gustavo-a.-madero;venustiano-carranza,1999
STC Metro,Deportivo Oceanía,deportivo-oceania,B,linea-B,Intermedia,intermedia,Gustavo A. Madero,gustavo-a.-madero,1999
STC Metro,Bosque de Aragón,bosque-de-aragon,B,linea-B,Intermedia,intermedia,Gustavo A. Madero,gustavo-a.-madero,1999
STC Metro,Villa de Aragón,villa-de-aragon,B,linea-B,Intermedia,intermedia,Gustavo A. Madero,gustavo-a.-madero,1999
STC Metro,Nezahualcóyotl,nezahualcoyotl,B,linea-B,Intermedia,intermedia,Estado de México - Nezahualcóyotl,estado-de-mexico-nezahualcoyotl,2000
STC Metro,Impulsora,impulsora,B,linea-B,Intermedia,intermedia,Estado de México - Nezahualcóyotl,estado-de-mexico-nezahualcoyotl,2000
STC Metro,Río de los Remedios,rio-de-los-remedios,B,linea-B,Intermedia,intermedia,Estado de México - Nezahualcóyotl,estado-de-mexico-nezahualcoyotl,2000
STC Metro,Múzquiz,muzquiz,B,linea-B,Intermedia,intermedia,Estado de México - Ecatepec,estado-de-mexico-ecatepec,2000
STC Metro,Ecatepec,ecatepec,B,linea-B,Intermedia,intermedia,Estado de México - Ecatepec,estado-de-mexico-ecatepec,2000
STC Metro,Olímpica,olimpica,B,linea-B,Intermedia,intermedia,Estado de México - Ecatepec,estado-de-mexico-ecatepec,2000
STC Metro,Plaza Aragón,plaza-aragon,B,linea-B,Intermedia,intermedia,Estado de México - Ecatepec,estado-de-mexico-ecatepec,2000
STC Metro,Ciudad Azteca,ciudad-azteca,B,linea-B,Terminal,terminal,Estado de México - Ecatepec,estado-de-mexico-ecatepec,2000
