fecha_dia,FECHA_HORA_RDF,codigo_estacion,sentido_codigo,Hora_Codigo,Valor_Intensidad
,,,,HOR10,1226
,,,,HOR11,1019
,,,,HOR12,1088
01/03/2025,2025-03-01T01:00:00,ES14,Norte,HOR1,117
,,,,HOR2,109
,,,,HOR3,59
,,,,HOR4,66
,,,,HOR5,44
,,,,HOR6,47
,,,,HOR7,45
,,,,HOR8,78
,,,,HOR9,146
,,,,HOR10,184
,,,,HOR11,231
,,,,HOR12,246
01/03/2025,2025-03-01T01:00:00,ES14,Sur,HOR1,271
,,,,HOR2,245
,,,,HOR3,210
,,,,HOR4,196
,,,,HOR5,203
,,,,HOR6,191
,,,,HOR7,199
,,,,HOR8,240
,,,,HOR9,230
,,,,HOR10,155
,,,,HOR11,121
,,,,HOR12,95
01/03/2025,2025-03-01T01:00:00,ES14,Este,HOR1,58
,,,,HOR2,59
,,,,HOR3,49
,,,,HOR4,37
,,,,HOR5,21
,,,,HOR6,19
,,,,HOR7,33
,,,,HOR8,44
,,,,HOR9,79
,,,,HOR10,132
,,,,HOR11,176
,,,,HOR12,189
01/03/2025,2025-03-01T01:00:00,ES14,Oeste,HOR1,232
,,,,HOR2,213
,,,,HOR3,175
,,,,HOR4,115
,,,,HOR5,131
,,,,HOR6,150
,,,,HOR7,167
,,,,HOR8,179
,,,,HOR9,191
,,,,HOR10,129
,,,,HOR11,102
,,,,HOR12,99
01/03/2025,2025-03-01T01:00:00,ES15,Norte,HOR1,192
,,,,HOR2,150
,,,,HOR3,116
,,,,HOR4,100
,,,,HOR5,106
,,,,HOR6,152
,,,,HOR7,369
,,,,HOR8,537
,,,,HOR9,302
,,,,HOR10,377
,,,,HOR11,430
,,,,HOR12,506
01/03/2025,2025-03-01T01:00:00,ES15,Sur,HOR1,548
,,,,HOR2,467
,,,,HOR3,268
,,,,HOR4,277
,,,,HOR5,339
,,,,HOR6,382
,,,,HOR7,314
,,,,HOR8,346
,,,,HOR9,358
,,,,HOR10,272
,,,,HOR11,245
,,,,HOR12,241
01/03/2025,2025-03-01T01:00:00,ES15,Este,HOR1,99
,,,,HOR2,73
,,,,HOR3,51
,,,,HOR4,73
,,,,HOR5,86
,,,,HOR6,57
,,,,HOR7,104
,,,,HOR8,333
,,,,HOR9,244
,,,,HOR10,284
,,,,HOR11,353
,,,,HOR12,462
01/03/2025,2025-03-01T01:00:00,ES15,Oeste,HOR1,549
,,,,HOR2,762
,,,,HOR3,278
,,,,HOR4,228
,,,,HOR5,311
,,,,HOR6,387
,,,,HOR7,371
,,,,HOR8,376
,,,,HOR9,304
,,,,HOR10,200
,,,,HOR11,153
,,,,HOR12,125
01/03/2025,2025-03-01T01:00:00,ES16,Norte,HOR1,877
,,,,HOR2,697
,,,,HOR3,553
,,,,HOR4,506
,,,,HOR5,462
,,,,HOR6,411
,,,,HOR7,336
,,,,HOR8,443
,,,,HOR9,643
,,,,HOR10,831
,,,,HOR11,1114
,,,,HOR12,1209
01/03/2025,2025-03-01T01:00:00,ES16,Sur,HOR1,1280
,,,,HOR2,1200
,,,,HOR3,982
,,,,HOR4,940
,,,,HOR5,1132
,,,,HOR6,1065
,,,,HOR7,1004
,,,,HOR8,1068
,,,,HOR9,1076
,,,,HOR10,930
,,,,HOR11,985
,,,,HOR12,1002
01/03/2025,2025-03-01T01:00:00,ES16,Este,HOR1,623
,,,,HOR2,498
,,,,HOR3,391
,,,,HOR4,327
,,,,HOR5,273
,,,,HOR6,254
,,,,HOR7,258
,,,,HOR8,365
,,,,HOR9,538
,,,,HOR10,740
,,,,HOR11,1031
,,,,HOR12,1198
01/03/2025,2025-03-01T01:00:00,ES16,Oeste,HOR1,1364
,,,,HOR2,1260
,,,,HOR3,794
,,,,HOR4,811
,,,,HOR5,988
,,,,HOR6,1109
,,,,HOR7,1169
,,,,HOR8,1213
,,,,HOR9,1001
,,,,HOR10,791
,,,,HOR11,603
