anyo,trimestre,barrio,barrio_URI,num_viviendas,metros_2,dormitorios,banyos,renta_min,renta_media,renta_max,euros_m2,desv_tipica
2013,3,Carolinas Altas,Q5199022,33,79,2.5,1.3,220,382,550,4.8,56
2013,3,Carolinas Bajas,Q8339426,29,74,2.3,1.4,250,390,560,5.2,69
2013,3,Old town-Santa Cruz,Q8341907,19,74,2,1.3,250,468,800,6.3,135
2013,3,Center,Q5760971,120,95,2.6,1.6,280,533,1000,5.6,145
2013,3,Old town-Santa Cruz,Q8341907,48,81,2.3,1.5,250,470,900,5.8,144
2013,3,Asis,Q5770765,8,89,2.6,1.4,300,392,525,4.4,63
2013,3,garden city,Q660088,1,208,3,1.5,450,765,1100,3.7,325
2013,3,Colonia Requena,Q5777835,1,68,2.5,1,270,277,290,4.1,10
2013,3,Florida Alta,Q5863207,18,84,2.8,1.4,299,405,550,4.8,60
2013,3,Florida Baixa,Q5555553,21,84,2.8,1.5,300,432,600,5.1,73
2013,3,Garbinet,Q8963455,2,75,2,1.5,300,420,550,5.6,103
2013,3,Garbinet,Q8963455,29,107,2.8,1.9,450,566,800,5.3,83
2013,3,Joan XXIII,Q5952905,4,87,3.1,1.4,300,358,450,4.1,48
2013,3,Joan XXIII,Q5952905,2,93,3,1.3,260,349,500,3.8,105
2013,3,l'Albufereta,Q11482271,58,78,2.1,1.4,250,496,800,6.3,110
2013,3,La Goteta,Q28502683,3,79,2.3,1.2,350,384,475,4.9,43
2013,3,Els Àngels,Q9024383,31,91,2.9,1.5,250,414,600,4.5,67
2013,3,Mercado,Q3117833,27,92,2.9,1.5,300,460,700,5,84
2013,3,international peace,Q114246474,14,100,2.5,2,500,582,700,5.8,65
2013,3,Plaza Juan Pablo II,Q136523625,5,103,3.1,1.9,500,527,600,5.1,32
2013,3,Pla del Bon Repòs,Q9060237,53,76,2.5,1.2,260,371,600,4.9,64
2013,3,San Juan Playa,Q9060728,163,92,2.3,1.7,250,554,1250,6,170
2013,3,Polígono Babel,Q18005830,21,104,3.2,1.9,390,529,750,5.1,81
2013,3,Polígono San Blas,Q9061569,8,98,3.1,1.7,340,461,600,4.7,82
2013,3,Raval Roig,Q9066754,12,67,2,1.3,350,446,800,6.6,103
2013,3,San Agustín (Alicante),Q9073289,5,90,2.4,1.6,280,427,750,4.8,142
2013,3,San Antón,Q2917775,7,80,1.9,1.4,240,430,650,5.4,106
2013,3,San Blas-Santo Domingo,Q4897331,55,90,2.8,1.5,300,443,700,4.9,82
2013,3,San Gabriel National Forest,Q7414207,31,103,2.8,1.9,330,512,700,5,80
2013,3,Santa Faz,Q10879280,2,72,1.5,1.3,400,432,550,6,65
2013,3,Sidi Ifni-Nuevo Alicante,Q6127455,3,85,2.8,1.2,350,385,450,4.5,34
2013,3,Tómbola,Q6154605,4,101,3.4,1.9,395,484,575,4.8,54
2013,3,Urbanova,Q125359431,9,74,1.9,1.5,325,437,600,5.9,76
2013,3,Villafranqueza,Q9094009,6,79,2.5,1.6,300,419,900,5.3,152
2013,3,Virgen del Remedio,Q6163619,13,87,2.7,1.2,250,339,450,3.9,47
2013,3,Vistahermosa,Q6163998,4,134,3.1,2,425,660,950,4.9,174
2013,4,Pla del Bon Repòs,Q9060237,61,72,2.5,1.1,260,353,500,4.9,55
2013,4,Carolinas Altas,Q5199022,41,79,2.5,1.3,220,377,450,4.8,54
2013,4,Campoamor,Q8261229,31,83,2.8,1.4,300,378,500,4.6,56
2013,4,Carolinas Bajas,Q8339426,39,74,2.2,1.4,250,378,490,5.1,58
2013,4,Els Àngels,Q9024383,39,90,2.8,1.6,250,403,550,4.5,62
2013,4,Benalua,Q8246192,83,91,3,1.6,250,415,650,4.6,82
2013,4,San Blas-Santo Domingo,Q4897331,57,87,2.8,1.5,300,424,600,4.9,57
2013,4,Altozano-Conde Lumiares,Q5855261,24,93,3,1.5,275,425,550,4.6,81
2013,4,Florida Baixa,Q5555553,28,82,2.6,1.5,300,427,600,5.2,75
2013,4,Old town-Santa Cruz,Q8341907,22,79,2.1,1.5,250,454,800,5.7,162
2013,4,Mercado,Q3117833,42,91,2.9,1.5,300,458,700,5,88
2013,4,Old town-Santa Cruz,Q8341907,70,82,2.3,1.5,250,473,900,5.8,160
2013,4,San Gabriel National Forest,Q7414207,40,99,2.7,1.9,330,498,650,5,68
2013,4,l'Albufereta,Q11482271,73,77,2.1,1.4,250,498,800,6.5,117
2013,4,Polígono Babel,Q18005830,20,97,3.3,1.9,390,513,650,5.3,66
2013,4,San Juan Playa,Q9060728,212,87,2.3,1.7,250,536,1000,6.2,154
2013,4,Center,Q5760971,123,94,2.6,1.6,280,537,1000,5.7,151
2013,4,Garbinet,Q8963455,25,97,2.8,1.9,450,551,750,5.7,72
2013,4,Cabo de las Huertas,Q8254541,54,108,2.6,1.6,400,632,1300,5.9,219
2013,4,Florida Alta,Q5863207,19,80,2.7,1.2,299,408,500,5.1,56
2013,4,international peace,Q114246474,19,106,2.7,2.1,500,592,700,5.6,67
2013,4,Polígono San Blas,Q9061569,14,96,3.1,1.6,340,459,600,4.8,82
2013,4,Raval Roig,Q9066754,13,66,1.7,1.4,350,428,575,6.5,79
2013,4,Urbanova,Q125359431,13,72,1.9,1.5,325,419,500,5.8,60
2013,4,Alipark,Q8195638,12,87,3,1.3,350,409,500,4.7,43
2013,4,Asis,Q5770765,11,78,2.6,1.4,300,375,450,4.8,51
2013,4,Benissa,Q1649406,7,97,3,2,400,512,575,5.3,57
2013,4,San Agustín (Alicante),Q9073289,6,81,2.3,1.3,280,403,750,5,187
2013,4,Villafranqueza,Q9094009,6,76,2.5,1.5,300,450,900,5.9,224
2013,4,Joan XXIII,Q5952905,5,88,3.2,1.4,300,334,375,3.8,37
2013,4,Plaza Juan Pablo II,Q136523625,5,114,3.2,2,500,528,550,4.6,26
2013,4,Vistahermosa,Q6163998,5,139,3.2,2.2,550,730,950,5.3,179
2013,4,San Antón,Q2917775,4,80,2.3,1.3,240,343,430,4.3,78
2013,4,Santa Faz,Q10879280,3,75,1.7,1.3,400,450,550,6,87
2013,4,Sidi Ifni-Nuevo Alicante,Q6127455,3,88,2.7,1.3,370,407,450,4.6,40
2013,4,Tómbola,Q6154605,3,93,3.3,2,450,483,500,5.2,29
2013,4,garden city,Q660088,2,208,3,1.5,450,775,1100,3.7,460
2013,4,La Goteta,Q28502683,2,65,1.5,1,390,395,400,6.1,7
2013,4,Virgen del Remedio,Q6163619,2,87,3,1.5,300,340,380,3.9,57
2014,1,Alipark,Q8195638,10,91,2.9,1.3,300,418,475,4.6,53
2014,1,Altozano-Conde Lumiares,Q5855261,26,93,3,1.5,240,415,550,4.5,90
2014,1,Benalua,Q8246192,53,86,2.8,1.4,280,431,900,5.3,90
2014,1,Benissa,Q1649406,9,110,3.4,1.9,400,498,575,4.6,60
2014,1,Cabo de las Huertas,Q8254541,55,90,2.3,1.5,320,591,1250,7,216
2014,1,Campoamor,Q8261229,43,92,3,1.4,275,389,550,4.3,57
2014,1,Carolinas Altas,Q5199022,35,89,2.7,1.2,240,363,480,4.3,49
2014,1,Carolinas Bajas,Q8339426,60,77,2.3,1.2,250,386,550,5.3,66
2014,1,Old town-Santa Cruz,Q8341907,21,72,2,1.3,295,458,800,7,138
2014,1,Old town-Santa Cruz,Q8341907,73,82,2.4,1.5,280,496,1200,6.4,167
2014,1,Asis,Q5770765,17,93,2.7,1.4,300,383,450,4.5,47
2014,1,Divina Pastora,Q8561236,2,185,4,2.5,400,625,850,3.4,225
2014,1,Ensanche Diputación,Q5834070,116,99,2.8,1.6,280,528,1000,5.6,146
2014,1,Florida Alta,Q5863207,13,90,3.2,1.2,325,398,500,4.7,50
2014,1,Florida Baixa,Q5555553,25,92,2.7,1.3,300,407,500,4.7,63
2014,1,Garbinet,Q8963455,2,78,2,1,390,445,500,5.7,55
2014,1,Garbinet,Q8963455,36,99,2.9,1.8,350,541,700,5.6,69
2014,1,Joan XXIII,Q5952905,5,84,3,1,300,344,410,4.1,37
2014,1,l'Albufereta,Q11482271,64,72,1.9,1.3,230,479,1000,7,127
2014,1,Els Àngels,Q9024383,20,92,2.9,1.5,300,420,500,4.7,60
2014,1,Mercado,Q3117833,38,103,2.9,1.5,330,515,950,9.4,128
