id,location_name_rdf,location_url,parameter,parameter_url,value,unit,datetimeUtc,timezone,latitude,longitude
4318_2025-10-06T01:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-06T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T02:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-06T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T03:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-06T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T07:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-06T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T09:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-06T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T11:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-06T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T13:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-06T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T14:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-06T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T15:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-06T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T18:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-06T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T20:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-06T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T01:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-07T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T03:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-07T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T05:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-07T05:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T10:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-07T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
